,Place ID,Place Name
145,ChIJF_FNsul6GIgRXF8D_oAzxa4,School of Missionary Aviation Technology
146,ChIJPeUUHyGpPIgRsI9kAeoHres,Washtenaw Community College
147,ChIJlUFMp4euPIgRNqDWDGnACHo,The University of Michigan - North Campus
148,ChIJoTE-NDyuPIgRNVNiSvjoHY8,Exhibit A2 Hotel
149,ChIJ0YtAjWiuPIgRh4qyTHE7Prk,University of Michigan Hospital
150,ChIJTWllB-27woARFHntVl3XnBc,"InterContinental Los Angeles Century City, an IHG Hotel"
151,ChIJJ-Ng6DatGYgReQui2u1IRss,Perrigo
152,ChIJxebvlTrKJIgRYPgbA-pnnDY,Cornerstone Adams-Young Middle School
153,ChIJEdDWPTBTGIgR6ky4wgnZ7Xo,NorthPointe Christian Middle and High School
154,ChIJp-jVoSVTGIgRhQY1Sx9elbk,Cornerstone University
155,ChIJa60M3EN3F4gR5WDQ8u529oo,Cornerstone University
156,ChIJsUSmW06dF4gRvi3KhpgEFyw,Galilee Baptist Church
157,ChIJj9G5Wsy_IogRiRLldtuo30c,Cornerstone University
158,ChIJp-jVoSVTGIgRhQY1Sx9elbk,Cornerstone University
159,ChIJp-jVoSVTGIgRhQY1Sx9elbk,Cornerstone University
160,ChIJAVS2s8q3JIgRrbNytyII_fM,Hope United Methodist Church
161,ChIJuZH2LtUyO4gRhCv4wPOp7CM,Third New Hope
162,ChIJp-jVoSVTGIgRhQY1Sx9elbk,Cornerstone University
163,ChIJizs2IuDyGYgRUF_QNujvmrs,Calvary Schools of Holland
164,ChIJDd9YwbUhJYgRIlJMVGsnZCA,Kensington Church
165,ChIJ3y5yhfPFEIgREB9FAALM4HM,The Orchards Mall
166,ChIJ5Zqa5g3DuIkRK85PTMhXnAU,New Holy Trinity Church of God in Christ
167,ChIJP9IstpfAIogRVDv_5ANof2Q,Lansing Church-God In Christ
168,ChIJZSz6JOqwJIgRTnU4UB3tcAY,The Michigan School of Psychology
169,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
170,ChIJBWVOO1DeJIgRHBlWhyiD5FU,MSU College of Osteopathic Medicine
171,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
